,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,relatives,not_alone
0,0,3,male,22.0,1,0,A/5 21171,7.25,S,1,0
1,1,1,female,38.0,1,0,PC 17599,71.2833,C,1,0
2,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S,0,1
3,1,1,female,35.0,1,0,113803,53.1,S,1,0
4,0,3,male,35.0,0,0,373450,8.05,S,0,1
5,0,3,male,28.0,0,0,330877,8.4583,Q,0,1
6,0,1,male,54.0,0,0,17463,51.8625,S,0,1
7,0,3,male,2.0,3,1,349909,21.075,S,4,0
8,1,3,female,27.0,0,2,347742,11.1333,S,2,0
9,1,2,female,14.0,1,0,237736,30.0708,C,1,0
10,1,3,female,4.0,1,1,PP 9549,16.7,S,2,0
11,1,1,female,58.0,0,0,113783,26.55,S,0,1
12,0,3,male,20.0,0,0,A/5. 2151,8.05,S,0,1
13,0,3,male,39.0,1,5,347082,31.275,S,6,0
14,0,3,female,14.0,0,0,350406,7.8542,S,0,1
15,1,2,female,55.0,0,0,248706,16.0,S,0,1
16,0,3,male,2.0,4,1,382652,29.125,Q,5,0
17,1,2,male,28.0,0,0,244373,13.0,S,0,1
18,0,3,female,31.0,1,0,345763,18.0,S,1,0
19,1,3,female,28.0,0,0,2649,7.225,C,0,1
20,0,2,male,35.0,0,0,239865,26.0,S,0,1
21,1,2,male,34.0,0,0,248698,13.0,S,0,1
22,1,3,female,15.0,0,0,330923,8.0292,Q,0,1
23,1,1,male,28.0,0,0,113788,35.5,S,0,1
24,0,3,female,8.0,3,1,349909,21.075,S,4,0
25,1,3,female,38.0,1,5,347077,31.3875,S,6,0
26,0,3,male,28.0,0,0,2631,7.225,C,0,1
27,0,1,male,19.0,3,2,19950,263.0,S,5,0
28,1,3,female,28.0,0,0,330959,7.8792,Q,0,1
29,0,3,male,28.0,0,0,349216,7.8958,S,0,1
30,0,1,male,40.0,0,0,PC 17601,27.7208,C,0,1
31,1,1,female,28.0,1,0,PC 17569,146.5208,C,1,0
32,1,3,female,28.0,0,0,335677,7.75,Q,0,1
33,0,2,male,66.0,0,0,C.A. 24579,10.5,S,0,1
34,0,1,male,28.0,1,0,PC 17604,82.1708,C,1,0
35,0,1,male,42.0,1,0,113789,52.0,S,1,0
36,1,3,male,28.0,0,0,2677,7.2292,C,0,1
37,0,3,male,21.0,0,0,A./5. 2152,8.05,S,0,1
38,0,3,female,18.0,2,0,345764,18.0,S,2,0
39,1,3,female,14.0,1,0,2651,11.2417,C,1,0
40,0,3,female,40.0,1,0,7546,9.475,S,1,0
41,0,2,female,27.0,1,0,11668,21.0,S,1,0
42,0,3,male,28.0,0,0,349253,7.8958,C,0,1
43,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C,3,0
44,1,3,female,19.0,0,0,330958,7.8792,Q,0,1
45,0,3,male,28.0,0,0,S.C./A.4. 23567,8.05,S,0,1
46,0,3,male,28.0,1,0,370371,15.5,Q,1,0
47,1,3,female,28.0,0,0,14311,7.75,Q,0,1
48,0,3,male,28.0,2,0,2662,21.6792,C,2,0
49,0,3,female,18.0,1,0,349237,17.8,S,1,0
50,0,3,male,7.0,4,1,3101295,39.6875,S,5,0
51,0,3,male,21.0,0,0,A/4. 39886,7.8,S,0,1
52,1,1,female,49.0,1,0,PC 17572,76.7292,C,1,0
53,1,2,female,29.0,1,0,2926,26.0,S,1,0
54,0,1,male,65.0,0,1,113509,61.9792,C,1,0
55,1,1,male,28.0,0,0,19947,35.5,S,0,1
56,1,2,female,21.0,0,0,C.A. 31026,10.5,S,0,1
57,0,3,male,28.5,0,0,2697,7.2292,C,0,1
58,1,2,female,5.0,1,2,C.A. 34651,27.75,S,3,0
59,0,3,male,11.0,5,2,CA 2144,46.9,S,7,0
60,0,3,male,22.0,0,0,2669,7.2292,C,0,1
61,1,1,female,38.0,0,0,113572,80.0,S,0,1
62,0,1,male,45.0,1,0,36973,83.475,S,1,0
63,0,3,male,4.0,3,2,347088,27.9,S,5,0
64,0,1,male,28.0,0,0,PC 17605,27.7208,C,0,1
65,1,3,male,28.0,1,1,2661,15.2458,C,2,0
66,1,2,female,29.0,0,0,C.A. 29395,10.5,S,0,1
67,0,3,male,19.0,0,0,S.P. 3464,8.1583,S,0,1
68,1,3,female,17.0,4,2,3101281,7.925,S,6,0
69,0,3,male,26.0,2,0,315151,8.6625,S,2,0
70,0,2,male,32.0,0,0,C.A. 33111,10.5,S,0,1
71,0,3,female,16.0,5,2,CA 2144,46.9,S,7,0
72,0,2,male,21.0,0,0,S.O.C. 14879,73.5,S,0,1
73,0,3,male,26.0,1,0,2680,14.4542,C,1,0
74,1,3,male,32.0,0,0,1601,56.4958,S,0,1
75,0,3,male,25.0,0,0,348123,7.65,S,0,1
76,0,3,male,28.0,0,0,349208,7.8958,S,0,1
77,0,3,male,28.0,0,0,374746,8.05,S,0,1
78,1,2,male,0.83,0,2,248738,29.0,S,2,0
79,1,3,female,30.0,0,0,364516,12.475,S,0,1
80,0,3,male,22.0,0,0,345767,9.0,S,0,1
81,1,3,male,29.0,0,0,345779,9.5,S,0,1
82,1,3,female,28.0,0,0,330932,7.7875,Q,0,1
83,0,1,male,28.0,0,0,113059,47.1,S,0,1
84,1,2,female,17.0,0,0,SO/C 14885,10.5,S,0,1
85,1,3,female,33.0,3,0,3101278,15.85,S,3,0
86,0,3,male,16.0,1,3,W./C. 6608,34.375,S,4,0
87,0,3,male,28.0,0,0,SOTON/OQ 392086,8.05,S,0,1
88,1,1,female,23.0,3,2,19950,263.0,S,5,0
89,0,3,male,24.0,0,0,343275,8.05,S,0,1
