,PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,sex_female,sex_male,embarked_C,embarked_Q,embarked_S
0,1,3,male,22.0,1,0,A/5 21171,7.25,S,0,1,0,0,1
1,2,1,female,38.0,1,0,PC 17599,71.2833,C,1,0,1,0,0
2,3,3,female,26.0,0,0,STON/O2. 3101282,7.925,S,1,0,0,0,1
3,4,1,female,35.0,1,0,113803,53.1,S,1,0,0,0,1
4,5,3,male,35.0,0,0,373450,8.05,S,0,1,0,0,1
5,6,3,male,28.0,0,0,330877,8.4583,Q,0,1,0,1,0
6,7,1,male,54.0,0,0,17463,51.8625,S,0,1,0,0,1
7,8,3,male,2.0,3,1,349909,21.075,S,0,1,0,0,1
8,9,3,female,27.0,0,2,347742,11.1333,S,1,0,0,0,1
9,10,2,female,14.0,1,0,237736,30.0708,C,1,0,1,0,0
10,11,3,female,4.0,1,1,PP 9549,16.7,S,1,0,0,0,1
11,12,1,female,58.0,0,0,113783,26.55,S,1,0,0,0,1
12,13,3,male,20.0,0,0,A/5. 2151,8.05,S,0,1,0,0,1
13,14,3,male,39.0,1,5,347082,31.275,S,0,1,0,0,1
14,15,3,female,14.0,0,0,350406,7.8542,S,1,0,0,0,1
15,16,2,female,55.0,0,0,248706,16.0,S,1,0,0,0,1
16,17,3,male,2.0,4,1,382652,29.125,Q,0,1,0,1,0
17,18,2,male,28.0,0,0,244373,13.0,S,0,1,0,0,1
18,19,3,female,31.0,1,0,345763,18.0,S,1,0,0,0,1
19,20,3,female,28.0,0,0,2649,7.225,C,1,0,1,0,0
20,21,2,male,35.0,0,0,239865,26.0,S,0,1,0,0,1
21,22,2,male,34.0,0,0,248698,13.0,S,0,1,0,0,1
22,23,3,female,15.0,0,0,330923,8.0292,Q,1,0,0,1,0
23,24,1,male,28.0,0,0,113788,35.5,S,0,1,0,0,1
24,25,3,female,8.0,3,1,349909,21.075,S,1,0,0,0,1
25,26,3,female,38.0,1,5,347077,31.3875,S,1,0,0,0,1
26,27,3,male,28.0,0,0,2631,7.225,C,0,1,1,0,0
27,28,1,male,19.0,3,2,19950,263.0,S,0,1,0,0,1
28,29,3,female,28.0,0,0,330959,7.8792,Q,1,0,0,1,0
29,30,3,male,28.0,0,0,349216,7.8958,S,0,1,0,0,1
